rank,player_name,points,player_url,scraped_at
128,V. Gaubas,508,/en/players/vilius-gaubas/g0fw/overview,2026-07-14T15:18:08.978153
129,T. Samuel,508,/en/players/toby-samuel/s0tm/overview,2026-07-14T15:18:08.978153
130,K. Jacquet,497,/en/players/kyrian-jacquet/j0az/overview,2026-07-14T15:18:08.978153
131,R. Opelka,496,/en/players/reilly-opelka/o522/overview,2026-07-14T15:18:08.978153
132,A. Muller,494,/en/players/alexandre-muller/mp20/overview,2026-07-14T15:18:08.978153
133,N. Mejia,493,/en/players/nicolas-mejia/m0aw/overview,2026-07-14T15:18:08.978153
134,L. Riedi,489,/en/players/leandro-riedi/r0fs/overview,2026-07-14T15:18:08.978153
135,N. Basilashvili,474,/en/players/nikoloz-basilashvili/bg23/overview,2026-07-14T15:18:08.978153
136,G. Heide,474,/en/players/gustavo-heide/h0du/overview,2026-07-14T15:18:08.978153
137,A. Gea,465,/en/players/arthur-gea/g0ix/overview,2026-07-14T15:18:08.978153
138,A. Pellegrino,459,/en/players/andrea-pellegrino/ph64/overview,2026-07-14T15:18:08.978153
139,T. Barrios Vera,442,/en/players/tomas-barrios-vera/bs86/overview,2026-07-14T15:18:08.978153
140,M. McDonald,439,/en/players/mackenzie-mcdonald/mk66/overview,2026-07-14T15:18:08.978153
141,C. Garin,438,/en/players/cristian-garin/gd64/overview,2026-07-14T15:18:08.978153
142,N. Basavareddy,436,/en/players/nishesh-basavareddy/b0nn/overview,2026-07-14T15:18:08.978153
143,J. Rodionov,427,/en/players/jurij-rodionov/r09x/overview,2026-07-14T15:18:08.978153
144,H. Dellien,415,/en/players/hugo-dellien/da31/overview,2026-07-14T15:18:08.978153
145,J. Draper,410,/en/players/jack-draper/d0co/overview,2026-07-14T15:18:08.978153
146,G. Dimitrov,407,/en/players/grigor-dimitrov/d875/overview,2026-07-14T15:18:08.978153
147,S. Sakellaridis,404,/en/players/stefanos-sakellaridis/s0kt/overview,2026-07-14T15:18:08.978153
148,T. Schoolkate,398,/en/players/tristan-schoolkate/s0n0/overview,2026-07-14T15:18:08.978153
149,F. Maestrelli,391,/en/players/francesco-maestrelli/m0if/overview,2026-07-14T15:18:08.978153
150,S. Travaglia,385,/en/players/stefano-travaglia/ta12/overview,2026-07-14T15:18:08.978153
151,M. Echargui,379,/en/players/moez-echargui/ea13/overview,2026-07-14T15:18:08.978153
152,D. Lajovic,378,/en/players/dusan-lajovic/l987/overview,2026-07-14T15:18:08.978153
153,Z. Kolar,370,/en/players/zdenek-kolar/kh56/overview,2026-07-14T15:18:08.978153
154,B. Harris,365,/en/players/billy-harris/hd68/overview,2026-07-14T15:18:08.978153
155,S. Kwon,360,/en/players/soonwoo-kwon/kf17/overview,2026-07-14T15:18:08.978153
156,Z. Zhang,359,/en/players/zhizhen-zhang/z371/overview,2026-07-14T15:18:08.978153
157,P. Martinez,358,/en/players/pedro-martinez/mo44/overview,2026-07-14T15:18:08.978153
158,A. Galarneau,351,/en/players/alexis-galarneau/gk06/overview,2026-07-14T15:18:08.978153
159,M. Lajal,350,/en/players/mark-lajal/l0gh/overview,2026-07-14T15:18:08.978153
160,L. Nardi,346,/en/players/luca-nardi/n0bg/overview,2026-07-14T15:18:08.978153
161,R. Sakamoto,344,/en/players/rei-sakamoto/s0uv/overview,2026-07-14T15:18:08.978153
162,L. Neumayer,343,/en/players/lukas-neumayer/n0cs/overview,2026-07-14T15:18:08.978153
163,T. Skatov,343,/en/players/timofey-skatov/s0gr/overview,2026-07-14T15:18:08.978153
164,T. Boyer,342,/en/players/tristan-boyer/b0ej/overview,2026-07-14T15:18:08.978153
165,R. Carballes Baena,342,/en/players/roberto-carballes-baena/cf59/overview,2026-07-14T15:18:08.978153
166,A. Bolt,341,/en/players/alex-bolt/bi81/overview,2026-07-14T15:18:08.978153
167,D. Glinka,341,/en/players/daniil-glinka/g0by/overview,2026-07-14T15:18:08.978153
168,B. Gojo,340,/en/players/borna-gojo/gh92/overview,2026-07-14T15:18:08.978153
169,G. Onclin,335,/en/players/gauthier-onclin/o0a2/overview,2026-07-14T15:18:08.978153
170,J. Pinnington Jones,334,/en/players/jack-pinnington-jones/p0ht/overview,2026-07-14T15:18:08.978153
171,J. Schwaerzler,331,/en/players/joel-schwaerzler/s0wt/overview,2026-07-14T15:18:08.978153
